ts,temp_dht,pm1,pm25,pm10
2026-03-29 04:10:00,30.0,6.4,10.8,12.8
2026-03-29 04:20:00,30.0,6.666666666666667,11.11111111111111,13.777777777777779
2026-03-29 04:30:00,30.0,6.777777777777778,10.88888888888889,12.11111111111111
2026-03-29 04:40:00,30.0,6.9,11.8,13.5
2026-03-29 04:50:00,30.0,6.888888888888889,12.555555555555555,14.333333333333334
2026-03-29 05:00:00,30.0,6.444444444444445,11.666666666666666,13.333333333333334
2026-03-29 05:10:00,30.0,6.9,11.7,13.2
2026-03-29 05:20:00,30.0,7.0,12.0,12.88888888888889
2026-03-29 05:30:00,30.0,6.666666666666667,11.555555555555555,13.777777777777779
2026-03-29 05:40:00,30.0,7.2,12.8,14.1
2026-03-29 05:50:00,30.0,6.555555555555555,12.333333333333334,14.444444444444445
2026-03-29 06:00:00,30.0,5.888888888888889,10.88888888888889,14.555555555555555
2026-03-29 06:10:00,30.0,7.5,11.4,13.8
2026-03-29 06:20:00,30.0,7.222222222222222,12.444444444444445,15.222222222222221
2026-03-29 06:30:00,30.0,6.888888888888889,10.777777777777779,12.444444444444445
2026-03-29 06:40:00,30.0,6.9,11.9,14.0
2026-03-29 06:50:00,30.0,6.333333333333333,10.777777777777779,12.444444444444445
2026-03-29 07:00:00,30.0,6.888888888888889,12.666666666666666,13.333333333333334
2026-03-29 07:10:00,30.0,6.7,11.4,13.9
2026-03-29 07:20:00,30.0,6.444444444444445,11.333333333333334,13.666666666666666
2026-03-29 07:30:00,30.0,6.555555555555555,12.555555555555555,13.777777777777779
2026-03-29 07:40:00,30.6,6.6,11.8,13.7
2026-03-29 07:50:00,31.0,6.222222222222222,10.88888888888889,12.444444444444445
2026-03-29 08:00:00,31.0,5.777777777777778,10.333333333333334,12.444444444444445
2026-03-29 08:10:00,31.0,6.0,10.3,12.7
2026-03-29 08:20:00,31.0,7.555555555555555,12.222222222222221,13.88888888888889
2026-03-29 08:30:00,31.0,6.222222222222222,10.333333333333334,12.555555555555555
2026-03-29 08:40:00,31.0,6.3,10.4,11.4
2026-03-29 08:50:00,31.0,6.777777777777778,11.222222222222221,12.88888888888889
2026-03-29 09:00:00,31.0,5.666666666666667,9.444444444444445,10.666666666666666
