timestamp,temp_indoor,pm1_indoor,pm25_indoor,pm10_indoor,temp_outdoor,pm1_outdoor,pm25_outdoor,pm10_outdoor,aqi,humid,rainfall,temp,windspeed
2026-03-29 05:30:00,30.0,6.666666666666667,11.555555555555555,13.77777777777778,28.0,11.4,22.5,24.4,88,80,0,28.4,2.9
2026-03-29 05:40:00,30.0,7.2,12.8,14.1,28.0,7.5,13.1,13.2,89,85,0,29.0,3.1
2026-03-29 05:50:00,30.0,6.555555555555555,12.333333333333334,14.444444444444445,28.0,12.2,19.5,19.7,89,76,0,28.3,2.5
2026-03-29 06:00:00,30.0,5.888888888888889,10.88888888888889,14.555555555555555,28.0,13.3,22.2,22.9,93,80,3,27.3,5.7
2026-03-29 06:10:00,30.0,7.5,11.4,13.8,28.0,11.6,21.8,22.8,92,85,0,29.0,5.8
2026-03-29 06:20:00,30.0,7.222222222222222,12.444444444444445,15.22222222222222,28.0,4.666666666666667,8.0,8.222222222222221,90,83,0,27.2,5.9
2026-03-29 06:30:00,30.0,6.888888888888889,10.77777777777778,12.444444444444445,28.0,4.4,7.1,7.3,89,83,0,28.5,5.9
2026-03-29 06:40:00,30.0,6.9,11.9,14.0,28.0,10.0,16.5,16.9,83,80,0,28.8,5.8
2026-03-29 06:50:00,30.0,6.333333333333333,10.77777777777778,12.444444444444445,28.0,10.5,16.9,18.0,87,77,0,28.2,5.5
2026-03-29 07:00:00,30.0,6.888888888888889,12.666666666666666,13.333333333333334,28.2,11.2,17.7,18.9,111,66,0,31.8,5.9
2026-03-29 07:10:00,30.0,6.7,11.4,13.9,29.0,9.0,16.0,16.7,106,65,0,32.3,5.2
2026-03-29 07:20:00,30.0,6.444444444444445,11.333333333333334,13.666666666666666,29.0,10.5,16.7,19.1,109,61,0,32.7,5.0
2026-03-29 07:30:00,30.0,6.555555555555555,12.555555555555555,13.77777777777778,29.5,9.6,16.4,17.6,106,61,0,31.1,5.7
2026-03-29 07:40:00,30.6,6.6,11.8,13.7,30.0,7.8,12.8,13.2,110,61,0,32.4,5.2
2026-03-29 07:50:00,31.0,6.222222222222222,10.88888888888889,12.444444444444445,30.5,7.2,10.8,10.8,102,67,4,31.4,5.1
2026-03-29 08:00:00,31.0,5.777777777777778,10.333333333333334,12.444444444444445,31.0,5.8,9.8,10.0,109,69,0,32.9,5.9
2026-03-29 08:10:00,31.0,6.0,10.3,12.7,31.0,5.3,7.4,7.4,107,65,0,32.3,5.1
2026-03-29 08:20:00,31.0,7.555555555555555,12.22222222222222,13.88888888888889,31.1,7.8,12.0,13.4,106,69,0,32.4,5.7
2026-03-29 08:30:00,31.0,6.222222222222222,10.333333333333334,12.555555555555555,31.0,4.7,9.1,9.1,110,63,0,32.2,5.2
2026-03-29 08:40:00,31.0,6.3,10.4,11.4,30.3,6.1,10.0,10.6,111,61,0,32.2,5.9
2026-03-29 08:50:00,31.0,6.777777777777778,11.22222222222222,12.88888888888889,30.0,7.3,11.3,11.9,111,61,0,32.7,5.7
2026-03-29 09:00:00,31.0,5.666666666666667,9.444444444444445,10.666666666666666,30.5,6.3,9.8,9.8,110,61,0,31.8,9.7
2026-03-29 09:10:00,31.0,6.0,9.9,11.4,31.0,5.8,8.2,8.2,104,69,0,32.1,11.4
2026-03-29 09:20:00,31.0,6.333333333333333,10.11111111111111,11.88888888888889,32.9,6.8,11.2,11.6,104,67,0,32.6,11.1
